DateTime,AddedIPs,RemovedIPs
1532124302,0,1
1532124602,1,0
1532133302,0,1
1532133902,1,0
1532148902,0,1
1532149202,1,0
1532177702,0,1
1532178002,1,0
1532183701,0,1
1532184002,1,0
1532195702,0,1
1532196302,1,0
1532204702,0,1
1532205002,1,0
1532212501,0,1
1532212802,1,0
1532225702,0,1
1532226002,1,0
1532228701,0,1
1532229002,1,0
1532231102,0,1
1532231401,1,0
1532255102,0,1
1532255402,1,0
1532262302,0,1
1532262902,1,0
1532264701,0,1
1532265602,1,0
1532272502,0,1
1532272802,1,0
1532321402,2,0
1532322902,1,0
1532323802,4,0
1532324402,6,0
1532327701,0,1
1532328002,0,1
1532329202,0,1
1532330102,1,4
1532330701,0,7
1532337302,1,0
1532337901,0,1
1532345102,0,1
1532345402,1,0
1532351702,1,0
1532352602,0,1
1532355902,0,1
1532356202,1,0
1532357102,0,1
1532357702,1,0
1532468702,0,1
1532469302,1,0
1532475902,0,1
1532476202,1,0
1532478302,0,1
1532478902,1,0
1532484302,0,1
1532484902,1,0
1532507102,0,1
1532507701,1,0
1532529902,0,1
1532530502,1,0
1532637302,0,1
1532637602,1,0
1532640302,0,1
1532640602,1,0
1532653502,0,1
1532653802,1,0
1532664302,0,1
1532664602,1,0
1532672702,0,1
1532673002,1,0
1532680502,0,1
1532681102,1,0
1532690702,0,1
1532691302,1,0
1532693102,0,1
1532693702,1,0
1532698502,0,1
1532698802,1,0
1532703902,0,1
1532704202,1,0
1532759102,1,0
1532982901,0,1
1532983202,1,0
1532992502,0,1
1532992802,1,0
1533005702,0,1
1533006002,1,0
1533016501,0,1
1533017102,1,0
1533024902,0,1
1533025201,1,0
1533029701,0,1
1533030002,1,0
1533031502,0,1
1533032102,1,0
1533075602,1,0
1533199202,1,0
1533209402,1,0
1533214202,2,0
1533215402,0,1
1533215702,1,0
1533237002,1,0
1533263102,0,1
1533263402,1,0
1533282302,0,1
1533282602,1,0
1533304502,0,1
1533304802,1,0
1533329402,1,0
1533366002,0,1
1533366302,1,0
1533368702,0,1
1533369002,1,0
1533380101,0,1
1533381002,1,0
1533414902,0,1
1533415502,1,0
1533422102,0,1
1533422402,1,0
1533431402,0,1
1533431702,1,0
1533515101,0,1
1533515402,1,0
1533629402,0,1
1533629702,1,0
1533670502,0,1
1533670802,1,0
1533705302,0,1
1533705602,1,0
1533746102,0,1
1533746402,1,0
1533750902,0,1
1533751202,1,0
1533762602,1,0
1533795002,0,1
1533795301,1,0
1533799802,1,0
1533834302,1,0
1533838802,0,1
1533839102,1,0
1533876302,0,1
1533877202,1,0
1533880202,1,0
1533880502,2,0
1533881102,1,0
1533881702,1,0
1533882002,9,0
1533882902,0,1
1533883802,0,1
1533884402,0,1
1533884702,0,1
1533885302,0,8
1533885601,0,1
1533893702,0,1
1533894002,1,0
1533902102,0,1
1533902402,1,0
1533904502,0,1
1533904802,1,0
1533936602,0,1
1533936902,1,0
1534035602,1,0
1534150802,0,0
1534156502,0,1
1534156802,1,0
1534188603,0,1
1534188902,1,0
1534199402,0,1
1534199701,1,0
1534227902,0,1
1534228202,1,0
1534236602,0,1
1534236902,1,0
1534293602,0,1
1534294202,1,0
1534311602,0,1
1534312502,1,0
1534341902,0,1
1534342202,1,0
1534344002,0,1
1534344302,1,0
1534351202,0,1
1534351502,1,0
1534392303,0,1
1534392602,1,0
1534399202,0,1
1534399502,1,1
1534400102,1,0
1534440002,0,1
1534440302,1,0
1534445102,1,1
1534446302,1,1
1534476002,0,1
1534476302,1,0
1534485602,0,1
1534485902,1,0
1534504802,0,1
1534505102,1,0
1534506002,0,1
1534506602,1,0
1534514402,0,1
1534514702,1,0
1534556703,0,1
1534557002,1,0
1534568703,3,0
1534569302,9,0
1534571102,1,0
1534574102,0,2
1534574702,1,9
1534575002,0,2
1534576502,0,1
1534604402,0,1
1534604702,1,0
1534640703,0,1
1534641002,1,0
1534652402,0,1
1534652702,1,0
1534711202,0,1
1534711802,1,0
1534720802,0,1
1534721102,1,0
1534803602,0,1
1534803902,1,0
1534900202,0,1
1534900802,1,0
1534922401,0,1
1534922702,1,0
1535039402,0,1
1535039701,1,0
1535085002,0,2
1535085602,1,0
1535085902,1,0
1535106902,0,1
1535107202,1,0
1535136901,0,1
1535137502,1,0
1535149502,0,1
1535151302,1,0
1535156702,0,1
1535157302,1,0
1535181002,0,1
1535181302,1,0
1535214902,0,1
1535215202,1,0
1535220602,0,1
1535220902,1,0
1535267102,0,1
1535268002,1,0
1535279402,0,1
1535280002,1,0
1535286602,0,1
1535287202,1,0
1535293502,0,1
1535295001,1,0
1535308501,0,1
1535308802,1,0
1535350202,0,1
1535350802,1,0
1535374201,0,1
1535374502,1,0
1535404202,0,1
1535404501,1,0
1535409002,0,1
1535409302,1,0
1535525102,0,1
1535526002,1,0
1535553901,0,1
1535554501,1,0
1535568302,0,1
1535569202,1,0
1535596802,0,1
1535597702,1,0
1535627702,1,1
1535658902,0,1
1535659502,1,0
1535663702,0,1
1535664002,1,0
1535669102,0,1
1535669402,1,0
1535673302,0,1
1535673902,1,0
1535703301,0,1
1535703602,1,0
1535712602,0,1
1535713202,1,0
1535727902,0,1
1535728202,1,0
1535736302,0,1
1535736602,1,0
1535770802,0,1
1535771102,1,0
1535778002,0,1
1535778302,1,0
1535821202,0,1
1535821802,1,0
1535883302,0,1
1535883602,1,0
1535919002,0,1
1535920201,1,0
1535959502,0,1
1535960102,1,0
1536050702,0,1
1536051902,1,0
1536120002,2,0
1536120302,8,0
1536120602,2,0
1536122401,1,0
1536129302,0,2
1536129902,0,1
1536130802,0,1
1536131403,0,1
1536131701,0,1
1536132002,0,7
1536186302,1,1
1536190202,1,1
1536196502,1,0
1536196802,3,0
1536197102,7,0
1536197701,1,0
1536198901,1,0
1536215102,0,1
1536216902,0,2
1536217202,0,4
1536217502,0,5
1536218101,0,1
1536545102,0,1
1536545702,1,0
1536552302,0,1
1536552602,1,0
1536557701,0,1
1536558002,1,0
1536598502,0,1
1536599102,1,0
1536603902,0,1
1536604202,1,0
1536664802,0,1
1536760502,1,0
1536880202,0,1
1536881402,1,0
1536943802,0,1
1536944102,1,0
1537003802,1,1
1537004402,0,1
1537004702,2,1
1537021802,0,1
1537022402,1,0
1537332602,1,1
1537333202,1,0
1537594201,1,1
1537595103,1,1
1537774502,0,1
1537775102,1,0
1537778702,0,1
1537947602,1,0
1537947902,0,1
1537948202,1,0
1537952402,0,1
1537953002,1,0
1538049902,1,1
1538051402,1,1
1538144702,1,1
1538206802,1,1
1538208302,1,0
1538646302,1,1
1538647202,1,1
1538771102,1,1
1538772001,1,0
1539041401,1,1
1539352202,0,1
1539352502,1,0
1539389102,0,1
1539588602,1,1
1539589202,1,1
1539604802,1,1
1539835802,2,0
1539836402,9,0
1539836702,1,0
1539837903,1,0
1539840902,0,1
1539841503,0,2
1539842102,0,9
1539842402,0,1
1539939002,1,1
1539939902,1,0
1539994202,0,1
1540180201,1,1
1540180802,1,1
